,,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Number of agricultural businesses,Number of agricultural businesses,Number of agricultural businesses,Number of agricultural businesses,Number of agricultural businesses,Number of agricultural businesses,Number of agricultural businesses,Number of agricultural businesses
Commodity description,,Area of holding - Total area (ha) (a),"Water source - Groundwater (e.g. bores, springs, wells) - Total volume used (ML)",Water source - Total volume of water from all sources (ML) (b),Water source - Water taken from on-farm dams or tanks - Total volume used (ML),"Water source - Water taken from rivers, creeks, lakes, etc. - Total volume used (ML)",Water use - Total application rate (ML/ha),Water use - Total area watered (ha),Water use - Total volume applied (ML),Area of holding - Total area (ha) (a),"Water source - Groundwater (e.g. bores, springs, wells) - Total volume used (ML)",Water source - Total volume of water from all sources (ML) (b),Water source - Water taken from on-farm dams or tanks - Total volume used (ML),"Water source - Water taken from rivers, creeks, lakes, etc. - Total volume used (ML)",Water use - Total application rate (ML/ha),Water use - Total area watered (ha),Water use - Total volume applied (ML)
Region label,Year,,,,,,,,,,,,,,,,
Babinda,2020,23068.86,540.51,3936.59,3.05,3308.04,2.07,1886.8,3901.18,188.0,17.0,44.0,1.0,28.0,0.0,44.0,44.0
Bacchus Marsh,2020,771.45,260.84,826.44,0.27,,2.23,375.42,837.03,15.0,2.0,6.0,1.0,,0.0,6.0,6.0
Bacchus Marsh Surrounds,2020,35662.55,,81.52,,,1.12,72.72,81.52,92.0,,2.0,,,0.0,2.0,2.0
Bairnsdale,2020,5154.76,277.9,505.31,12.38,213.63,2.07,252.08,522.03,32.0,4.0,7.0,1.0,4.0,0.0,7.0,7.0
Baldivis - North,2020,48.32,181.96,181.96,,,0.0,0.0,181.96,5.0,2.0,2.0,,,0.0,2.0,2.0
Baldivis - South,2020,146.75,321.25,517.35,0.2,,0.0,0.0,516.96,9.0,8.0,8.0,1.0,,0.0,8.0,8.0
Ballajura,2020,4.58,43.49,43.49,,,19.0,2.29,43.49,1.0,1.0,1.0,,,0.0,1.0,1.0
Ballarat,2011,548754.5,28302.0,37668.5,7248.6,638.7,2.9,10201.6,37668.5,1531.0,525.0,1342.0,871.0,155.0,0.0,284.0,1342.0
Ballarat,2012,555904.6,17621.2,31806.5,9914.3,1979.6,2.4,10626.0,31806.5,1407.0,517.0,1312.0,779.0,294.0,0.0,262.0,1312.0
Ballarat,2013,500904.93,9797.8,23304.72,9215.39,2270.16,3.12,5569.79,17402.41,1611.0,540.0,1489.0,849.0,195.0,0.0,349.0,349.0
Ballarat,2014,434916.1,7255.38,19813.73,9259.84,1000.92,2.49,5823.71,14515.98,1245.0,378.0,1176.0,849.0,290.0,0.0,224.0,224.0
Ballarat,2015,533408.34,11598.81,21310.27,6350.32,1487.7,1.2,12584.99,15111.89,1057.0,431.0,986.0,610.0,199.0,0.0,167.0,167.0
Ballarat,2016,583027.04,12565.39,25889.73,8378.2,1622.27,2.46,8268.66,20364.75,1113.0,514.0,1069.0,749.0,178.0,0.0,195.0,195.0
Ballarat,2017,613323.72,11362.79,32877.17,12727.76,1570.18,2.55,9768.37,24947.69,1216.0,492.0,1092.0,710.0,179.0,0.0,213.0,213.0
Ballarat,2018,793135.3,13841.2,35295.92,9122.87,2506.44,3.26,8203.4,26720.15,1331.0,635.0,1262.0,897.0,252.0,0.0,235.0,235.0
Ballarat,2019,648187.48,12878.69,23816.81,9098.44,1418.9,2.78,5944.99,16499.88,1270.0,372.0,615.0,364.0,89.0,0.0,232.0,232.0
Ballarat,2020,269575.105,6362.55,13155.22,4825.73,1431.6,2.47,4974.21,12288.1,575.0,90.0,178.0,110.0,25.0,0.0,177.0,177.0
Ballarat East - Warrenheip,2020,333.87,,24.61,24.61,,1.67,14.77,24.61,3.0,,1.0,1.0,,0.0,1.0,1.0
Ballarat North - Invermay,2020,646.64,,476.18,476.18,,4.28,92.77,397.47,7.0,,3.0,3.0,,0.0,3.0,3.0
Ballina,2020,167.13,54.78,54.78,,,1.51,36.18,54.78,2.0,1.0,1.0,,,0.0,1.0,1.0
Ballina Surrounds,2020,14817.98,401.74,1352.07,123.02,713.77,2.32,608.69,1414.23,271.0,23.0,54.0,21.0,14.0,0.0,54.0,54.0
Balonne,2020,2416675.74,1178.06,213241.56,44708.07,115527.87,7.15,25227.61,180355.23,250.0,3.0,46.0,21.0,26.0,0.0,44.0,44.0
Balwyn,2020,730.68,,,,,,,,1.0,,,,,,,
Banana,2020,2961402.42,14204.17,66697.54,13855.16,23586.9,3.87,18266.1,70745.65,822.0,100.0,155.0,30.0,39.0,0.0,154.0,154.0
Bangalow,2020,6398.03,2.83,224.58,47.68,174.08,0.75,318.8,240.31,97.0,1.0,17.0,8.0,7.0,0.0,17.0,17.0
Banjup,2020,48.33,,,,,,,,1.0,,,,,,,
Bannockburn,2020,13232.3,,401.82,22.69,373.55,2.51,148.83,373.74,45.0,,7.0,4.0,3.0,0.0,7.0,7.0
Baranduda - Leneva,2020,11059.76,30.11,521.33,168.82,322.4,3.02,153.26,462.13,39.0,2.0,4.0,1.0,2.0,0.0,4.0,4.0
Barcaldine - Blackall,2020,6987935.99,1294.43,1294.43,,,4.88,265.13,1294.43,335.0,2.0,2.0,,,0.0,2.0,2.0
Bargara - Burnett Heads,2020,6482.96,5367.19,13915.24,404.52,48.43,3.48,3775.81,13151.28,81.0,35.0,74.0,12.0,2.0,0.0,74.0,74.0
Bargo,2020,1100.46,53.11,112.64,39.54,,1.14,131.48,149.32,21.0,6.0,12.0,9.0,,0.0,12.0,12.0
Barkly,2020,17756180.79,1649.98,1649.98,,,15.22,108.43,1649.98,25.0,1.0,1.0,,,0.0,1.0,1.0
Barmera,2020,9693.73,,33556.2,,3773.36,7.29,4572.47,33340.56,234.0,,228.0,,14.0,0.0,228.0,228.0
Barossa - Angaston,2020,47399.13,2435.06,4852.57,997.69,167.05,1.54,3106.77,4785.98,172.0,60.0,96.0,27.0,10.0,0.0,96.0,96.0
