,,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Number of agricultural businesses,Number of agricultural businesses,Number of agricultural businesses,Number of agricultural businesses,Number of agricultural businesses,Number of agricultural businesses,Number of agricultural businesses,Number of agricultural businesses
Commodity description,,Area of holding - Total area (ha) (a),"Water source - Groundwater (e.g. bores, springs, wells) - Total volume used (ML)",Water source - Total volume of water from all sources (ML) (b),Water source - Water taken from on-farm dams or tanks - Total volume used (ML),"Water source - Water taken from rivers, creeks, lakes, etc. - Total volume used (ML)",Water use - Total application rate (ML/ha),Water use - Total area watered (ha),Water use - Total volume applied (ML),Area of holding - Total area (ha) (a),"Water source - Groundwater (e.g. bores, springs, wells) - Total volume used (ML)",Water source - Total volume of water from all sources (ML) (b),Water source - Water taken from on-farm dams or tanks - Total volume used (ML),"Water source - Water taken from rivers, creeks, lakes, etc. - Total volume used (ML)",Water use - Total application rate (ML/ha),Water use - Total area watered (ha),Water use - Total volume applied (ML)
Region label,Year,,,,,,,,,,,,,,,,
Shellharbour - Flinders,2020,845.46,,,,,,,,8.0,,,,,,,
Shepparton,2011,881301.5,37049.9,617628.2,20232.0,33015.4,3.0,200010.6,617628.2,3487.0,435.0,3326.0,896.0,422.0,0.0,2525.0,3326.0
Shepparton,2012,858923.1,73156.5,976314.3,38776.4,25449.3,4.1,235379.9,976314.3,3358.0,653.0,3259.0,792.0,474.0,0.0,2709.0,3259.0
Shepparton,2013,969251.13,101588.89,1001195.6,14695.09,42102.14,3.56,276233.13,984218.34,3599.0,661.0,3230.0,794.0,438.0,0.0,2592.0,2592.0
Shepparton,2014,871131.55,86650.04,968597.93,13393.73,16468.49,3.6,263854.89,950944.2,3267.0,494.0,3037.0,524.0,382.0,0.0,2578.0,2578.0
Shepparton,2015,727868.79,96474.08,766497.26,9450.26,42144.53,3.32,225065.03,747760.56,2378.0,499.0,2201.0,352.0,273.0,0.0,1734.0,1734.0
Shepparton,2016,636233.82,58036.54,696421.63,7845.26,27794.99,3.17,212819.84,674003.26,2237.0,394.0,2123.0,561.0,228.0,0.0,1679.0,1679.0
Shepparton,2017,730897.09,85681.86,875952.16,10961.01,56756.22,3.4,248173.54,845006.9,2258.0,425.0,2146.0,471.0,228.0,0.0,1868.0,1868.0
Shepparton,2018,773273.93,119708.74,686259.58,3095.94,27976.2,3.0,224617.99,673307.69,2441.0,566.0,2267.0,451.0,196.0,0.0,1789.0,1789.0
Shepparton,2019,708565.88,85962.69,394755.07,4825.84,27806.9,2.95,126069.63,371444.1,2320.0,352.0,1587.0,247.0,252.0,0.0,1313.0,1313.0
Shepparton,2020,764680.2,74971.19,587279.31,4771.87,40690.07,2.96,190555.71,564428.84,2241.0,304.0,1557.0,119.0,154.0,0.0,1555.0,1555.0
Shepparton - North,2020,2174.82,,5551.59,7.08,,5.8,961.61,5581.34,15.0,,13.0,1.0,,0.0,13.0,13.0
Shepparton - South East,2020,4293.83,,8766.12,300.0,130.91,4.41,1939.73,8550.27,71.0,,62.0,1.0,2.0,0.0,62.0,62.0
Shepparton Surrounds - East,2020,75041.3,158.75,43184.73,674.35,1188.76,2.95,14323.95,42184.92,243.0,2.0,137.0,15.0,12.0,0.0,136.0,136.0
Shepparton Surrounds - West,2020,69431.58,4047.63,95509.99,708.93,3875.02,3.23,28560.69,92116.62,324.0,31.0,253.0,36.0,18.0,0.0,253.0,253.0
Shoal Point - Bucasia,2020,37.82,,,,,,,,1.0,,,,,,,
Singleton,2020,11426.33,492.13,2070.73,11.6,1450.41,2.48,689.6,1711.4,40.0,8.0,18.0,1.0,11.0,0.0,18.0,18.0
Singleton Surrounds,2020,69839.64,160.57,4348.3,8.68,3954.7,1.88,2074.51,3901.11,134.0,4.0,43.0,4.0,30.0,0.0,43.0,43.0
Skye - Sandhurst,2020,546.66,,163.87,85.97,40.8,7.7,17.03,131.2,11.0,,6.0,5.0,1.0,0.0,6.0,6.0
Smithton,2020,14091.49,2952.54,4543.73,270.0,636.19,2.3,1979.47,4543.73,28.0,2.0,3.0,1.0,2.0,0.0,3.0,3.0
Smythes Creek,2020,1032.28,,0.58,0.58,,0.25,2.32,0.58,10.0,,1.0,1.0,,0.0,1.0,1.0
Somerset,2020,306.48,,,,,,,,3.0,,,,,,,
Somerville,2020,3645.35,1757.82,4302.71,1460.03,933.16,5.11,842.07,4301.1,72.0,6.0,20.0,15.0,6.0,0.0,20.0,20.0
Sorell - Richmond,2020,17365.04,,2976.44,359.63,297.61,2.11,1408.17,2976.44,55.0,,33.0,9.0,7.0,0.0,33.0,33.0
South Arm,2020,925.04,2.36,2.36,,,2.0,1.18,2.36,4.0,1.0,1.0,,,0.0,1.0,1.0
South Australia,2011,49704974.8,400860.2,721526.0,30616.9,200324.3,4.0,165080.2,721526.0,13860.0,6074.0,12208.0,3598.0,1573.0,0.0,5168.0,12208.0
South Australia,2012,49431284.9,462849.7,842883.6,35970.1,185433.1,4.2,182429.1,842883.6,13038.0,5948.0,11622.0,3337.0,1069.0,0.0,4278.0,11622.0
South Australia,2013,52823192.18,350592.51,763232.38,31010.32,237233.01,4.29,164368.25,704620.91,13349.0,5755.0,11583.0,3436.0,1075.0,0.0,5113.0,5113.0
South Australia,2014,45836737.07,348982.53,770817.94,37974.82,225358.52,4.46,158249.69,705405.89,12645.0,5918.0,10964.0,3007.0,1310.0,0.0,5285.0,5285.0
South Australia,2015,47579720.54,432302.4,858756.62,20072.9,231432.33,4.09,190177.35,777769.05,9483.0,4253.0,8507.0,2063.0,1013.0,0.0,3123.0,3123.0
South Australia,2016,49720452.6,269675.17,610515.09,23899.56,175940.27,3.15,172931.0,544009.89,9661.0,4668.0,8799.0,2416.0,790.0,0.0,3038.0,3038.0
South Australia,2017,46700569.59,269576.22,659763.29,16447.33,208387.23,4.12,147143.96,605807.93,9706.0,4302.0,8794.0,2196.0,772.0,0.0,3071.0,3071.0
South Australia,2018,46104402.58,341451.3,740723.38,12557.29,195279.82,4.4,155976.51,686358.83,9803.0,4502.0,8769.0,1850.0,785.0,0.0,3069.0,3069.0
South Australia,2019,45351441.16,365936.12,795024.52,14899.04,216927.68,4.44,161430.18,717213.58,9437.0,3018.0,6164.0,1219.0,588.0,0.0,3033.0,3033.0
South Australia,2020,46180543.35,339453.66,772281.28,13693.19,217381.7,4.48,170301.88,762311.24,9424.0,1551.0,3035.0,331.0,419.0,0.0,3034.0,3034.0
South Australia - Outback,2012,40093489.6,5417.7,18808.1,8288.7,414.9,1.4,4335.2,18808.1,1488.0,474.0,1279.0,510.0,85.0,0.0,34.0,1279.0
South Australia - Outback,2013,43957530.91,4025.22,12169.95,4738.8,437.18,0.11,8273.77,883.46,1541.0,393.0,1311.0,458.0,61.0,0.0,285.0,285.0
South Australia - Outback,2014,37746193.73,3543.43,12588.48,4342.45,1355.0,5.36,510.42,2737.59,1398.0,456.0,1197.0,615.0,58.0,0.0,408.0,408.0
South Australia - Outback,2015,39515579.25,3867.23,25893.79,3427.68,483.13,0.61,16448.55,10095.2,1235.0,320.0,1055.0,357.0,71.0,0.0,38.0,38.0
South Australia - Outback,2016,41968834.23,4432.45,21113.28,7250.63,539.08,0.55,9775.99,5329.71,1320.0,405.0,1166.0,409.0,49.0,0.0,32.0,32.0
South Australia - Outback,2017,38362552.82,3732.03,9664.08,2668.02,609.73,0.0,5506.28,26.06,1190.0,300.0,1037.0,325.0,86.0,0.0,32.0,32.0
South Australia - Outback,2018,38010636.37,4463.27,10401.06,2476.09,222.3,0.68,1089.1,744.12,1184.0,347.0,1002.0,306.0,27.0,0.0,23.0,23.0
South Australia - Outback,2019,37180828.52,7906.51,12931.79,1742.35,221.1,0.55,1268.78,696.26,1120.0,215.0,646.0,226.0,10.0,0.0,14.0,14.0
South Australia - Outback,2020,37820805.61,1611.95,1899.96,70.58,207.81,2.43,782.62,1899.96,1187.0,5.0,10.0,3.0,1.0,0.0,10.0,10.0
South Australia - South East,2012,4789351.7,418915.1,740101.0,12061.5,181937.4,4.8,147110.7,740101.0,5983.0,3111.0,5621.0,904.0,747.0,0.0,2407.0,5621.0
South Australia - South East,2013,4537338.05,313305.99,681453.95,11975.24,234109.8,5.13,126009.13,646165.98,6097.0,2964.0,5637.0,1093.0,741.0,0.0,2715.0,2715.0
South Australia - South East,2014,4447364.48,309050.13,678573.27,17402.53,218567.53,5.02,126631.19,636297.94,5942.0,3110.0,5442.0,906.0,788.0,0.0,2786.0,2786.0
South Australia - South East,2015,4335733.13,393039.88,749489.78,7847.6,226681.8,5.1,139107.71,709490.91,4483.0,2316.0,4262.0,690.0,677.0,0.0,1879.0,1879.0
South Australia - South East,2016,4244461.79,237666.91,519371.56,5038.81,171915.3,4.4,110713.47,486937.47,4536.0,2483.0,4329.0,788.0,483.0,0.0,1777.0,1777.0
South Australia - South East,2017,4005549.31,229505.35,572986.03,5137.7,203152.03,4.87,111120.62,541102.1,4461.0,2340.0,4241.0,742.0,518.0,0.0,1782.0,1782.0
South Australia - South East,2018,3764550.87,273340.43,625861.28,5901.15,188850.34,5.37,110372.74,592419.88,4395.0,2387.0,4168.0,673.0,498.0,0.0,1752.0,1752.0
South Australia - South East,2019,4092406.89,330612.61,705365.54,6372.9,210795.71,5.11,127165.4,649235.42,4430.0,1611.0,3133.0,366.0,427.0,0.0,1817.0,1817.0
South Australia - South East,2020,4274270.06,303069.75,692369.98,9893.73,209693.78,4.96,137915.48,683843.93,4345.0,800.0,1777.0,47.0,359.0,0.0,1776.0,1776.0
South Australia-Outback,2011,41274751.3,6018.5,14194.9,3241.6,490.9,0.3,4922.1,14194.9,1464.0,417.0,1199.0,536.0,95.0,0.0,92.0,1199.0
South Australia-South East,2011,4591333.6,363666.2,643436.7,15235.2,198241.9,4.7,128910.9,643436.7,6500.0,3302.0,5986.0,1169.0,1053.0,0.0,2860.0,5986.0
South Bunbury - Bunbury,2020,653.82,,,,,,,,2.0,,,,,,,
South East,2011,583266.5,410.5,46928.1,13548.3,29883.2,2.8,14761.9,46928.1,803.0,96.0,738.0,530.0,314.0,0.0,301.0,738.0
South East,2012,547538.3,146.6,42192.9,16317.9,22430.1,2.8,13610.4,42192.9,747.0,101.0,724.0,491.0,222.0,0.0,225.0,724.0
South East,2013,572303.72,233.9,41927.62,9733.78,30449.16,2.84,13160.23,37440.3,807.0,221.0,773.0,561.0,444.0,0.0,237.0,237.0
South East,2014,506141.67,257.71,37900.2,15446.53,18292.98,2.0,17154.67,34263.33,683.0,143.0,643.0,478.0,119.0,0.0,205.0,205.0
South East,2015,491337.4,627.98,67674.93,19750.27,32566.92,2.99,21503.51,64391.41,414.0,53.0,394.0,240.0,185.0,0.0,199.0,199.0
South East,2016,473155.31,200.04,43901.13,14513.3,22425.82,2.29,17399.25,39778.33,456.0,37.0,445.0,289.0,163.0,0.0,206.0,206.0
South East,2017,498019.7,1920.31,55968.81,12573.18,26617.38,2.7,19681.78,53231.98,419.0,57.0,400.0,254.0,178.0,0.0,205.0,205.0
South East,2018,551287.26,464.44,75266.45,12977.58,42099.46,2.91,24033.09,69967.64,499.0,55.0,472.0,290.0,177.0,0.0,217.0,217.0
South East,2019,590153.63,520.82,69191.11,6138.03,42908.36,3.28,19161.61,62854.4,502.0,39.0,355.0,192.0,140.0,0.0,178.0,178.0
South East,2020,483564.49,419.82,71936.28,16009.1,29982.72,3.27,20877.88,68348.5,485.0,14.0,214.0,108.0,93.0,0.0,214.0,214.0
South Morang - North,2020,77.19,,,,,,,,1.0,,,,,,,
Southern Downs - East,2020,72503.18,1906.68,2160.52,98.61,155.22,0.92,1975.12,1826.2,221.0,29.0,33.0,4.0,7.0,0.0,33.0,33.0
Southern Downs - West,2020,189246.79,2838.16,5139.32,964.46,1295.29,1.75,2866.31,5022.3,196.0,40.0,45.0,7.0,7.0,0.0,45.0,45.0
Southern Grampians,2020,454827.77,2998.06,3024.79,26.73,,2.26,1344.15,3034.91,705.0,7.0,12.0,4.0,,0.0,12.0,12.0
Southern Highlands,2020,23752.69,86.84,105.75,9.75,,0.85,132.19,112.87,70.0,8.0,9.0,3.0,,0.0,9.0,9.0
Southern Highlands and Shoalhaven,2011,98328.4,1075.8,6564.0,3980.1,361.6,1.7,2807.5,6564.0,903.0,281.0,821.0,597.0,371.0,0.0,108.0,821.0
Southern Highlands and Shoalhaven,2012,84945.0,1272.2,7229.7,3099.2,1079.4,1.8,2942.4,7229.7,894.0,249.0,859.0,595.0,298.0,0.0,139.0,859.0
Southern Highlands and Shoalhaven,2013,74389.94,1126.22,3352.47,763.07,414.56,2.08,868.44,1810.26,897.0,243.0,773.0,373.0,302.0,0.0,110.0,110.0
Southern Highlands and Shoalhaven,2014,94962.38,2348.05,6598.48,1003.32,318.61,1.45,3136.79,4562.21,1044.0,458.0,969.0,477.0,292.0,0.0,265.0,265.0
Southern Highlands and Shoalhaven,2015,76175.61,1596.64,6685.92,1672.43,473.83,1.63,2042.96,3331.44,355.0,121.0,333.0,182.0,68.0,0.0,68.0,68.0
Southern Highlands and Shoalhaven,2016,71983.5,1731.29,8578.59,2468.22,237.26,2.71,1629.27,4408.54,314.0,99.0,310.0,153.0,74.0,0.0,76.0,76.0
Southern Highlands and Shoalhaven,2017,52859.7,895.36,5197.0,1364.59,1517.18,1.94,1655.28,3210.68,291.0,61.0,286.0,137.0,121.0,0.0,64.0,64.0
Southern Highlands and Shoalhaven,2018,41640.2,757.58,5290.41,1292.93,704.84,1.72,2357.71,4056.88,320.0,94.0,298.0,157.0,57.0,0.0,65.0,65.0
Southern Highlands and Shoalhaven,2019,117255.54,2705.02,5375.38,1367.25,391.52,1.22,2000.84,2435.2,593.0,122.0,252.0,117.0,62.0,0.0,75.0,75.0
Southern Highlands and Shoalhaven,2020,68270.31,551.02,2946.41,550.84,498.88,1.6,1615.69,2577.5,381.0,23.0,59.0,27.0,12.0,0.0,59.0,59.0
Southern Midlands,2020,177939.31,5.16,23770.74,7722.26,2588.82,2.81,7882.07,22141.06,159.0,3.0,64.0,30.0,10.0,0.0,64.0,64.0
Southport - North,2020,1594.38,,,,,,,,1.0,,,,,,,
Spring Farm,2020,12.57,,2.12,1.75,,2.33,2.51,5.85,1.0,,1.0,1.0,,0.0,1.0,1.0
Springwood - Winmalee,2020,79.21,,57.63,50.31,,3.29,15.28,50.31,3.0,,2.0,2.0,,0.0,2.0,2.0
St Agnes - Ridgehaven,2020,39.87,,24.84,2.96,,13.33,1.77,23.66,1.0,,1.0,1.0,,0.0,1.0,1.0
St Arnaud,2020,211498.11,,995.14,,,4.26,231.26,984.07,189.0,,1.0,,,0.0,1.0,1.0
St Georges Basin - Erowal Bay,2020,127.82,,,,,,,,1.0,,,,,,,
St Helens - Scamander,2020,50654.22,,2112.69,489.03,1621.55,1.74,1211.84,2112.69,41.0,,15.0,7.0,9.0,0.0,15.0,15.0
St Ives,2020,1.38,,,,,,,,1.0,,,,,,,
St Marys - North St Marys,2020,802.62,,,,,,,,1.0,,,,,,,
Stanthorpe,2020,9606.53,1.48,107.79,81.78,24.02,3.25,37.23,121.14,12.0,1.0,4.0,3.0,1.0,0.0,4.0,4.0
Stanthorpe Surrounds,2020,121037.32,322.46,6583.7,3909.81,1852.19,2.62,2232.29,5842.75,174.0,15.0,96.0,84.0,22.0,0.0,96.0,96.0
Stawell,2020,150809.46,45.43,779.25,169.9,,1.66,468.07,779.25,175.0,3.0,11.0,6.0,,0.0,11.0,11.0
Stockton - Fullerton Cove,2020,139.17,,,,,,,,1.0,,,,,,,
Strathalbyn,2020,7274.02,617.6,1562.61,,767.1,3.49,448.24,1562.61,31.0,8.0,10.0,,4.0,0.0,10.0,10.0
Strathalbyn Surrounds,2020,75569.86,5403.79,30030.12,1353.68,15525.18,3.04,9533.69,28967.73,259.0,72.0,146.0,21.0,55.0,0.0,146.0,146.0
Strathfieldsaye,2020,801.8,,351.57,,,3.0,117.19,351.57,7.0,,1.0,,,0.0,1.0,1.0
Strathpine - Brendale,2020,5.78,,,,,,,,1.0,,,,,,,
Sunbury,2020,3842.2,,93.41,,78.78,0.17,106.64,18.21,17.0,,5.0,,1.0,0.0,5.0,5.0
Sunbury - South,2020,759.69,,18.78,0.82,,1.37,13.67,18.78,8.0,,3.0,2.0,,0.0,3.0,3.0
Sunbury - West,2020,685.34,,,,,,,,3.0,,,,,,,
Sunshine Coast,2011,203150.5,402.3,8938.1,7816.8,657.2,4.1,1509.8,8938.1,856.0,93.0,608.0,524.0,157.0,0.0,224.0,608.0
Sunshine Coast,2012,129663.9,549.4,8499.4,5707.9,749.5,2.6,2462.0,8499.4,806.0,203.0,676.0,520.0,124.0,0.0,264.0,676.0
Sunshine Coast,2013,98107.08,980.23,6692.94,4720.61,866.76,2.59,1986.66,5147.15,829.0,273.0,698.0,549.0,112.0,0.0,339.0,339.0
Sunshine Coast,2014,34914.92,929.91,7960.4,4946.75,1825.74,1.29,3472.4,4488.46,603.0,164.0,506.0,381.0,129.0,0.0,248.0,248.0
Sunshine Coast,2015,38955.34,1188.71,9330.79,5062.83,2748.4,3.06,2332.81,7149.05,397.0,83.0,328.0,234.0,106.0,0.0,194.0,195.0
Sunshine Coast,2016,33935.91,1479.87,12834.81,9587.4,1557.47,3.27,1791.9,5854.41,439.0,96.0,330.0,252.0,52.0,0.0,203.0,203.0
Sunshine Coast,2017,16952.57,467.41,11361.45,3061.32,7465.82,2.87,3329.51,9546.28,315.0,42.0,230.0,155.0,49.0,0.0,167.0,167.0
Sunshine Coast,2018,159252.58,630.61,9826.4,3900.18,4408.96,2.01,4029.67,8083.01,488.0,103.0,371.0,292.0,89.0,0.0,157.0,157.0
Sunshine Coast,2019,35236.06,1306.93,12538.74,4942.78,5976.38,3.23,3721.58,12033.92,411.0,52.0,241.0,203.0,64.0,0.0,201.0,201.0
Sunshine Coast,2020,110204.07,301.39,8924.91,2920.2,5377.68,3.21,2900.3,9317.3,434.0,30.0,161.0,124.0,46.0,0.0,161.0,161.0
Surfers Paradise - South,2020,397.69,,,,,,,,1.0,,,,,,,
Surrey Hills (East) - Mont Albert,2020,75.2,,,,,,,,1.0,,,,,,,
Svensson Heights - Norville,2020,402.82,370.59,653.05,12.39,41.54,3.8,217.22,826.34,9.0,7.0,9.0,1.0,2.0,0.0,9.0,9.0
Swan Hill,2020,14595.03,,8351.14,,493.69,5.49,1516.6,8324.35,31.0,,20.0,,3.0,0.0,20.0,20.0
Swan Hill Surrounds,2020,454869.12,3057.65,135470.62,2.43,80453.7,6.29,21338.76,134221.36,373.0,2.0,181.0,1.0,57.0,0.0,180.0,180.0
Sydney (North) - Millers Point,2020,0.0,,,,,,,,1.0,,,,,,,
Sydney - Baulkham Hills and Hawkesbury,2012,12821.4,1268.8,15449.9,2836.3,10180.7,4.1,3756.1,15449.9,622.0,136.0,550.0,345.0,203.0,0.0,398.0,550.0
Sydney - Baulkham Hills and Hawkesbury,2013,6859.75,213.6,9287.41,1864.19,6242.18,3.54,2537.7,8981.05,520.0,59.0,428.0,287.0,91.0,0.0,329.0,329.0
Sydney - Baulkham Hills and Hawkesbury,2014,10475.91,179.01,6481.9,1142.2,4394.67,3.5,1790.55,6265.38,419.0,60.0,387.0,206.0,80.0,0.0,289.0,289.0
Sydney - Baulkham Hills and Hawkesbury,2015,7223.59,388.0,9008.56,1257.62,5445.67,3.62,2124.94,7701.31,334.0,42.0,308.0,162.0,75.0,0.0,243.0,243.0
Sydney - Baulkham Hills and Hawkesbury,2016,4592.81,39.7,6503.93,1069.1,4758.9,3.03,2104.27,6384.56,342.0,25.0,316.0,174.0,71.0,0.0,273.0,273.0
Sydney - Baulkham Hills and Hawkesbury,2017,5736.43,97.97,9627.69,1425.76,7329.86,3.02,3114.75,9415.78,364.0,30.0,326.0,179.0,104.0,0.0,271.0,271.0
Sydney - Baulkham Hills and Hawkesbury,2018,6935.05,171.45,6729.17,1374.49,4512.37,2.45,2588.34,6334.94,358.0,37.0,318.0,169.0,94.0,0.0,262.0,262.0
Sydney - Baulkham Hills and Hawkesbury,2019,13547.94,315.63,8467.74,937.08,6906.53,2.85,2925.76,8336.79,388.0,21.0,283.0,171.0,89.0,0.0,266.0,266.0
Sydney - Baulkham Hills and Hawkesbury,2020,11518.75,551.5,7479.96,1592.06,4800.28,3.16,2401.69,7584.14,348.0,32.0,225.0,121.0,60.0,0.0,223.0,223.0
Sydney - Blacktown,2012,2841.6,91.7,291.1,86.6,67.4,1.4,25.4,291.1,44.0,14.0,36.0,25.0,9.0,0.0,9.0,36.0
Sydney - Blacktown,2013,4420.05,0.04,444.5,128.68,6.75,4.41,28.97,127.77,48.0,1.0,46.0,24.0,8.0,0.0,16.0,16.0
Sydney - Blacktown,2014,10725.9,59.31,644.66,306.33,,3.93,84.53,332.62,39.0,2.0,33.0,21.0,,0.0,16.0,16.0
Sydney - Blacktown,2015,1239.48,9.27,463.33,283.15,25.45,2.56,72.89,186.7,41.0,2.0,34.0,19.0,6.0,0.0,16.0,16.0
Sydney - Blacktown,2016,2095.69,,487.26,81.23,122.63,0.94,114.34,107.84,57.0,,50.0,26.0,5.0,0.0,27.0,27.0
Sydney - Blacktown,2017,81.94,5.35,256.69,98.15,17.02,2.5,30.31,75.78,24.0,1.0,17.0,14.0,1.0,0.0,13.0,13.0
Sydney - Blacktown,2018,1664.9,,194.93,7.67,151.46,8.87,15.77,139.85,32.0,,21.0,2.0,9.0,0.0,14.0,14.0
Sydney - Blacktown,2019,163.76,,85.74,16.32,32.74,1.3,46.06,59.67,49.0,,27.0,16.0,9.0,0.0,25.0,25.0
Sydney - Blacktown,2020,1899.59,,39.32,21.73,8.6,3.28,20.99,68.89,28.0,,10.0,6.0,4.0,0.0,10.0,10.0
Sydney - City and Inner South,2014,13895.64,,29.33,28.87,,,,,16.0,,2.0,2.0,,,,
Sydney - City and Inner South,2015,109036.26,85.12,6484.83,843.59,4712.53,4.11,1508.68,6200.58,4.0,1.0,3.0,1.0,2.0,0.0,2.0,2.0
Sydney - City and Inner South,2019,584.2,,1072.0,772.0,,4.82,210.0,1012.0,1.0,,1.0,1.0,,0.0,1.0,1.0
Sydney - City and Inner South,2020,0.0,,,,,,,,1.0,,,,,,,
Sydney - Eastern Suburbs,2014,1440.0,1.27,5.56,3.31,0.98,,,,1.0,1.0,1.0,1.0,1.0,,,
Sydney - Eastern Suburbs,2015,8943.36,,20.84,2.19,18.65,,,,2.0,,2.0,1.0,1.0,,,
Sydney - Eastern Suburbs,2020,905.79,,1030.53,871.0,41.9,3.28,313.79,1030.53,3.0,,3.0,1.0,1.0,0.0,3.0,3.0
Sydney - Inner South West,2012,236.1,,5.0,5.0,,,,5.0,2.0,,2.0,2.0,,,,2.0
Sydney - Inner South West,2013,21.09,,14.5,,,0.79,18.45,14.5,13.0,,13.0,,,0.0,13.0,13.0
Sydney - Inner South West,2014,3.34,,2.47,2.47,,4.41,0.56,2.47,1.0,,1.0,1.0,,0.0,1.0,1.0
Sydney - Inner South West,2015,4535.79,14.2,356.8,217.7,6.49,0.78,412.58,321.8,10.0,1.0,10.0,4.0,2.0,0.0,8.0,8.0
Sydney - Inner South West,2016,3.63,,14.53,,,5.0,2.91,14.53,1.0,,1.0,,,0.0,1.0,1.0
Sydney - Inner South West,2017,1776.32,2.27,2.27,,,,,,3.0,3.0,3.0,,,,,
Sydney - Inner South West,2020,769.83,,7.41,6.37,,8.46,4.47,37.82,5.0,,2.0,1.0,,0.0,2.0,2.0
Sydney - Inner West,2015,4423.7,,4019.56,574.22,2871.11,5.56,720.0,4000.0,1.0,,1.0,1.0,1.0,0.0,1.0,1.0
Sydney - Inner West,2020,0.42,,0.24,0.24,,1.92,0.42,0.8,1.0,,1.0,1.0,,0.0,1.0,1.0
Sydney - North Sydney and Hornsby,2012,7129.3,,115.0,30.0,1.5,,,115.0,47.0,,47.0,3.0,1.0,,,47.0
Sydney - North Sydney and Hornsby,2013,136.92,,0.55,,,,,,5.0,,3.0,,,,,
Sydney - North Sydney and Hornsby,2014,3219.87,,30.16,25.86,,4.41,0.98,4.3,3.0,,3.0,2.0,,0.0,1.0,1.0
Sydney - North Sydney and Hornsby,2015,1361.07,363.25,391.47,1.06,0.7,2.6,148.39,385.57,8.0,5.0,8.0,2.0,1.0,0.0,6.0,6.0
Sydney - North Sydney and Hornsby,2016,75.72,,71.14,,12.3,5.42,10.86,58.84,10.0,,10.0,,1.0,0.0,9.0,9.0
Sydney - North Sydney and Hornsby,2018,1014.14,12.12,200.0,28.48,,1.4,28.4,39.87,6.0,2.0,6.0,2.0,,0.0,3.0,3.0
Sydney - North Sydney and Hornsby,2019,12.85,,51.41,51.41,,4.0,12.85,51.41,12.0,,12.0,12.0,,0.0,12.0,12.0
Sydney - North Sydney and Hornsby,2020,608.6,,4.75,1.84,,4.97,3.1,15.39,6.0,,2.0,1.0,,0.0,2.0,2.0
Sydney - Northern Beaches,2012,60.1,0.5,36.7,13.0,1.0,2.4,15.3,36.7,11.0,1.0,11.0,6.0,1.0,0.0,10.0,11.0
Sydney - Northern Beaches,2013,32.99,2.48,67.72,8.44,,3.01,9.36,28.19,20.0,6.0,20.0,7.0,,0.0,20.0,20.0
Sydney - Northern Beaches,2014,2315.46,0.5,48.93,28.36,,3.54,6.21,22.0,27.0,13.0,24.0,19.0,,0.0,23.0,23.0
Sydney - Northern Beaches,2015,32556.19,51.28,194.24,67.16,51.0,3.67,9.67,35.48,14.0,2.0,14.0,9.0,1.0,0.0,9.0,9.0
Sydney - Northern Beaches,2016,30971.63,30.0,87.79,32.46,21.47,6.45,1.47,9.47,13.0,1.0,13.0,13.0,2.0,0.0,1.0,1.0
Sydney - Northern Beaches,2017,34.19,,73.26,0.26,,7.57,9.63,72.89,19.0,,19.0,12.0,,0.0,6.0,6.0
Sydney - Northern Beaches,2018,37.81,12.83,193.5,70.7,,12.43,14.53,180.67,28.0,12.0,28.0,7.0,,0.0,15.0,15.0
Sydney - Northern Beaches,2020,142.62,50.77,227.01,18.58,128.98,1.7,130.95,222.24,11.0,1.0,7.0,3.0,1.0,0.0,7.0,7.0
Sydney - Outer South West,2012,17189.0,245.9,3853.0,764.1,2498.0,1.9,1689.1,3853.0,269.0,23.0,269.0,164.0,20.0,0.0,73.0,269.0
Sydney - Outer South West,2013,25357.81,710.64,3474.98,1399.46,1211.5,2.58,1068.5,2753.56,272.0,127.0,248.0,148.0,44.0,0.0,61.0,61.0
Sydney - Outer South West,2014,8965.9,713.95,3607.02,1415.58,936.4,2.71,1048.74,2841.08,227.0,74.0,207.0,128.0,17.0,0.0,66.0,66.0
Sydney - Outer South West,2015,15275.38,360.7,3583.35,647.11,1908.32,2.12,1384.61,2934.42,172.0,47.0,169.0,87.0,41.0,0.0,85.0,85.0
Sydney - Outer South West,2016,12076.01,291.37,11338.99,9467.6,934.46,2.69,857.22,2307.5,213.0,31.0,212.0,149.0,18.0,0.0,78.0,78.0
Sydney - Outer South West,2017,10340.65,782.4,3201.69,419.21,1833.62,3.2,866.73,2770.83,158.0,38.0,149.0,92.0,21.0,0.0,84.0,84.0
Sydney - Outer South West,2018,9962.61,843.8,2810.65,377.16,1428.55,4.94,384.03,1896.12,163.0,19.0,158.0,99.0,19.0,0.0,53.0,53.0
Sydney - Outer South West,2019,12352.4,516.0,2496.85,600.66,603.35,3.26,704.45,2295.39,142.0,43.0,121.0,102.0,6.0,0.0,69.0,69.0
Sydney - Outer South West,2020,17878.54,419.82,3359.77,363.57,2483.41,2.37,1452.53,3442.34,202.0,26.0,80.0,50.0,21.0,0.0,78.0,78.0
Sydney - Outer West and Blue Mountains,2012,12639.6,102.3,5348.5,827.9,2678.9,4.0,1267.8,5348.5,250.0,24.0,210.0,140.0,55.0,0.0,167.0,210.0
